language,sentence
english,"In 2006, Time magazine recognized Wikipedia's participation"
english,"In July 2007, Wikipedia was the focus"
english,"On September 28, 2007, Italian politician Franco"
english,"On September 16, 2007, The Washington Post"
english,Active participation also has an impact. Law
english,A working group led by Peter
english,In a 2017 opinion piece for
english,Wikipedia won two major awards in May
english,"In 2007, readers of brandchannel.com voted Wikipedia"
english,"In September 2008, Wikipedia received Quadriga A"
english,"In 2015, Wikipedia was awarded both the"
english,Many parodies target Wikipedia's openness and susceptibility
english,Comedian Stephen Colbert has parodied or referenced
english,In an episode of the television comedy
english,"""My Number One Doctor"", a 2007 episode"
english,"In 2008, the comedic website CollegeHumor produced"
english,"The Dilbert comic strip from May 8,"
english,"In July 2009, BBC Radio 4"
english,"In 2010, comedian Daniel Tosh encouraged viewers"
english,"On August 23, 2013, the New Yorker"
english,"In December 2015, John Julius Norwich stated,"
english,"Wikipedia has also spawned several sister projects,"
english,The most obvious economic effect of Wikipedia
english,There is also an ongoing debate about
english,Wikipedia has been widely used as a
english,"In 2015, French researchers Dr José Lages"
english,A 2017 MIT study suggests that words used
english,A 2018 Charles University study concluded that
english,Studies related to Wikipedia have been using
english,A number of interactive multimedia encyclopedias incorporating
english,"Several free-content, collaborative encyclopedias were created around"
english,Subsequent collaborative knowledge websites have drawn inspiration
farsi,ویکی‌پدیا (به انگلیسی: Wikipedia) یک 
farsi,دانشنامه برخط چندزبانه مبتنی بر وب با
farsi, محتوای آزاد و همکاری باز است که با 
farsi,همکاری افراد داوطلب نوشته می‌شود و ه
farsi,ر کسی که به اینترنت و وب دسترسی داشت
farsi,ه باشد می‌تواند مقالات آن را ببیند و
farsi, ویرایش کند. نام ویکی‌پدیا واژه‌ای ت
farsi,رکیبی است که از واژه‌های ویکی (وبگاه
farsi, مشارکتی) و اِنسایکلوپدیا (Encyclope
farsi,dia) (دانشنامه یا دائرةالمعارف) گرفت
farsi,ه شده‌است. هدف ویکی‌پدیا آفرینش و ان
farsi,تشار جهانی یک دانشنامه با محتوای آزا
farsi,د به تمامی زبان‌های زندهٔ دنیا است.
farsi,ویکی‌پدیای انگلیسی در تاریخ ۱۵ ژانویه ۲
farsi,۰۰۱ (۲۶ دی ۱۳۷۹) به صورت مکملی برای دان
farsi,شنامهٔ تخصصی نیوپدیا نوشته شد. بنیان‌گذ
farsi,اران آن «جیمی ویلز» و «لری سنگر» هستند.
farsi, هم‌اکنون بنیاد غیرانتفاعی ویکی‌مدیا پر
farsi,وژهٔ ویکی‌پدیا را پشتیبانی می‌کند.[۲] م
farsi,یزبان‌های اینترنتی اصلی این وبگاه در شه
farsi,ر تامپای فلوریدا هستند. همچنین میزبان‌ه
farsi,ای اضافی دیگری هم در شهرهای آمستردام و
farsi, سئول به این وبگاه یاری می‌رسانند.[۲]
farsi,ویکی‌پدیا از پایان آوریل ۲۰۰۷ تاکنون، یکی ا
farsi,ز ۱۰ وبگاه برتر جهان از لحاظ شمار بازدیدکن
farsi,ندگان بوده‌است که بیش از نیمی از بازدیدها 
farsi,به ویکی‌پدیای انگلیسی مربوط می‌شود.[۳][۴]
farsi,در میان تمام زبان‌های ویکی‌پدیا تا دس
farsi,امبر ۲۰۱۵ (آذر ۱۳۹۴) بیش از ۱۴۱ میلیو
farsi,ن صفحه وجود دارد که بیش از سی و هفت م
farsi,یلیون عدد از آن‌ها مقاله است. از زبان
farsi,‌های مشهور به ترتیب زبان انگلیسی بیش 
farsi,از ۵ میلیون، سوئدی ۲٫۱ میلیون، آلمانی
farsi, ۱٫۸ میلیون، هلندی ۱٫۸ میلیون، فرانسو
farsi,ی ۱٫۷ میلیون، روسی ۱٫۲ میلیون، ایتال
farsi,یایی ۱٫۲ میلیون، اسپانیایی ۱٫۲ میلیو
farsi,ن، لهستانی ۱٫۱ میلیون، ویتنامی ۱٫۱ م
farsi,یلیون و ژاپنی و پرتغالی و چینی هر کد
farsi,ام بیش از ۸۵۰ هزار مقاله دارند. تعدا
farsi,د کاربران ثبت‌نام شده حدود ۵۹ میلیون
farsi, نفر است که از میان آنها، ۴٫۰۲۲ نفر 
farsi,مدیر هستند. ویکی‌پدیا دربرگیرندهٔ ۲۸
farsi,۱ زبان با بیش از ۱۰ مقاله و در کل دا
farsi,رای ۲۹۱ گونهٔ زبان ملل دنیا است.[۵]
farsi,اعتبار ویکی‌پدیا دائماً مورد اختلاف بو
farsi,ده‌است. برخی آن را به‌خاطر انتشار رایگ
farsi,ان، ویژگی قابل ویرایش بودن، سیاست بی‌ط
farsi,رفی و گستردگی عناوین ستوده‌اند.[۶] از 
farsi,سوی دیگر، منتقدین درستی و اعتبار ویکی‌
farsi,پدیا را به‌خاطر آزادی ویرایش زیر سؤال 
farsi,برده‌اند،[۷] همچنین ویکی‌پدیا به خاطر 
farsi,آسیب‌پذیری در برابر خرابکاری،[۸] کیفیت
farsi, غیریکنواخت، سوگیری نظام مند، بی‌ثباتی
farsi,[۹] و نیز به خاطر ترجیح اجماع بر اعتبا
farsi,ر در سبک ویرایش مقالات نقد شده‌است. در
farsi, مقابل سیاست‌های محتوایی و ویکی پروژه‌
farsi,های ویکی‌پدیا توسط کاربرانی تهیه می‌شو
farsi,د که در پی رفع این نگرانی‌ها هستند.[۲]
farsi, پژوهشگران در دو مطالعهٔ علمی به این ن
farsi,تیجه دست یافته‌اند که خرابکاری‌ها عموم
farsi,اً زودگذر هستند[۱۰] و ویکی‌پدیا نسبتا
farsi,ً به درستی سایر دانشنامه‌ها است.[۱۱]
farsi,ویکی‌پدیا بر سیاست «دیدگاه بی‌طرفانه»
farsi, تأکید می‌کند. طبق این سیاست دیدگاه‌ه
farsi,ایی که توسط شخصیت‌های برجسته ارائه شد
farsi,ه‌اند بدون هیچ تلاشی برای تأیید آن‌ها
farsi, به‌طور خلاصه بیان می‌شوند. از آن رو 
farsi,که هر داوطلب می‌تواند مقاله‌ها را به 
farsi,سبک ویکی اضافه یا ویرایش کند، تخریب و
farsi, عدم اطمینان به صحت همهٔ مطالب از مشک
farsi,لات همیشگی این دانشنامه بوده‌است. با 
farsi,این حال در موارد متعددی مقاله‌های وی
farsi,کی‌پدیا را در رسانه‌های گروهی و مراک
farsi,ز علمی نقل کرده‌اند. مقاله‌های این د
farsi,انشنامه تحت مجوز حق تألیف آزاد گنو ق
farsi,ابل دسترسی هستند. نسخه زبان آلمانی و
farsi, انگلیسی ویکی‌پدیا به‌وسیله دیسک‌های
farsi, فشرده منتشر شده و نسخه‌های دیگر آن 
farsi,روی وبگاه‌های دیگر به صورت Fork یا آ
farsi,ینه قرار داده شده‌اند. با رشد روزافز
farsi,ون این دانشنامه گردانندگان آن در بنی
farsi,اد ویکی‌مدیا چندین پروژهٔ مشابه دیگر
farsi, همچون ویکی‌واژه، ویکی‌کتاب، ویکی‌گف
farsi,تاورد و ویکی‌خبر را پدیدآوردند.[۱۲]
farsi,ویکی‌پدیا به‌عنوان نسخهٔ تکمیلی نیوپد
farsi,یا آغاز به کار کرد. نیوپدیا پروژهٔ دا
farsi,نشنامهٔ رایگان و برخطی بود که مقاله‌ه
farsi,ایش توسط کارشناسان و از طریق یک جریان
farsi, رسمی نوشته می‌شدند. نیوپدیا در تاریخ
farsi, ۹ مارس ۲۰۰۰ (۱۹ اسفند ۱۳۷۸) تحت مالک
farsi,یت شرکت بومیس که یک شرکت پورتال وب بو
farsi,د، بنیان‌گذاری شد. شرکت بومیس که در س
farsi,ال ۱۹۹۶ بنیان‌گذاری شده بود، یک پایگا
farsi,ه اینترنتی تفریحات شهوانی و دارای محت
farsi,وای سکسی برای مردان بود؛ و سرمایه نخس
farsi,تین دانشنامه آزاد نیوپدیا، و جانشین آ
farsi,ن ویکی‌پدیا، توسط آن تا سال ۲۰۰۳ تأمی
farsi,ن می‌شد. پهنای باند و سرور استفاده شد
farsi,ه برای پروژه ویکی‌پدیا، توسط بومیس اه
farsi,دا شد؛ و بسیاری از کارمندان شرکت بومی
farsi,س و نیز مدیرعامل این شرکت در ایجاد او
farsi,لیه ویکی‌پدیا همکاری کردند.[۱۳][۱۴][۱
farsi,۵][۱۶][۱۷][۱۸][۱۹] اعضای برجستهٔ نیوپ
farsi,دیا عبارت بودند از جیمی ویلز، رئیس شر
farsi,کت و تصمیم‌گیرندهٔ نهایی و لری سَنگِر
farsi, رئیس بخش ویرایش و نوشتار نیوپدیا و ب
farsi,عدها ویکی‌پدیا. سنگر این‌طور نیوپدیا
farsi, را توصیف می‌کند که بین تمام دانشنام
farsi,ه‌های موجود آن زمان، تنها نیوپدیا دا
farsi,رای مطالب آزاد بود و محدودیت اندازه 
farsi,نداشت زیرا روی اینترنت قرار داشت. ضم
farsi,ناً به خاطر ماهیت عمومی و محدودهٔ گس
farsi,ترده شرکت‌کنندگان بالقوهٔ خود، بی‌طر
farsi,ف بود. نیوپدیا دارای هفت مرحله بازنگ
farsi,ری توسط کارشناسان متخصص در زمینه‌های
farsi, مختلف بود ولی بعدها همگان به این با
farsi,ور رسیدند که این روند برای تولید مقا
farsi,له‌ها بسیار کند است. شرکت بومیس که پ
farsi,ایه‌گذار این دانشنامه بود نقشه‌هایی 
farsi,برای تبلیغات داشت تا از طریق آن جبرا
farsi,ن سرمایه کند. این دانشنامه در ابتدا 
farsi,دارای مجوز مطلب آزاد نیوپدیا بود ولی
farsi, درست قبل از تشکیل ویکی‌پدیا و بر اث
farsi,ر اصرار ریچارد استالمن مجوز خود را ت
farsi,بدیل به مجوز حق تألیف آزاد گنو کرد.
farsi,ویکی‌پدیا برای نخستین بار در تاریخ ۱۵ 
farsi,ژانویه ۲۰۰۱ (۲۶ دی ۱۳۷۹) و فقط به زبان
farsi, انگلیسی به نام wikipedia.com به دنیای
farsi, تازه اینترنت وصل شد. ویکی‌پدیا از ۱۰ 
farsi,ژانویه یکی از قابلیت‌های Nupedia.com ب
farsi,ه‌شمار می‌رفت. به این صورت که نویسندگ
farsi,ان عمومی می‌توانستند مقاله‌های خود را
farsi, در آن وارد کنند تا پس از مرور در نیو
farsi,پدیا قرار گیرد؛ ولی پس از آن‌که هیئت 
farsi,مشورتی کارشناسان نیوپدیا مدل تولید آن
farsi, را رد کرد، از وبگاه نیوپدیا برداشته 
farsi,شد. بعد از آن ویکی‌پدیا به صورت پروژه
farsi,‌ای جدا از نیوپدیا شروع به کار کرد. س
farsi,یاست «دیدگاه بی‌طرفانه» که شبیه به سی
farsi,است پیشین «بی‌طرفی» نیوپدیا بود در هم
farsi,ان ماه‌های اول برنامه‌ریزی شد. ویکی‌پ
farsi,دیا سریعاً شرکت‌کنندگانی از نیوپدیا، 
farsi,اسلش دات و راهنماهای موتورهای جستجو ب
farsi,دست آورد. در پایان سال اول به تعداد ۲
farsi,۰٬۰۰۰ مقاله بین ۱۸ زبان خود رسید. تا 
farsi,پایان سال ۲۰۰۲ تعداد زبان‌ها به ۲۶، پ
farsi,ایان سال ۲۰۰۳ به ۴۶ و در پایان ۲۰۰۴ ب
farsi,ه تعداد ۱۶۱ زبان رسید. نیوپدیا و ویکی
farsi,‌پدیا آنقدر کنار هم زیستند تا میزبان 
farsi,(سِرور) نیوپدیا از کار افتاد و در سال
farsi, ۲۰۰۳ متون آن به ویکی‌پدیا منتقل شد.
farsi,ویلز و سنگر فکر استفاده از ویکی را به
farsi, وبگاه ویکی‌ویکی‌وب متعلق به وارد کا
farsi,نینگهام نسبت می‌دهند. ویلز اینگونه ب
farsi,یان می‌دارد که او برای اولین بار در 
farsi,دسامبر ۲۰۰۰ فکر استفاده از ویکی را ا
farsi,ز جرمی رُزنفیلد که کارمند شرکت بومیس
farsi, بود و یک ویکی مشابه را به او نشان د
farsi,اده بود شنید. اما این واقعه بعد از آ
farsi,ن بود که سنگر خبر وجود چیزی به نام و
farsi,یکی را از کوویتز که یکی از استفاده‌ک
farsi,نندگان ویکی بود شنید و پیشنهاد ساخت 
farsi,چیزی مثل ویکی برای نیوپدیا را به ویل
farsi,ز داد. از همین‌جا بود که تاریخ ویکی 
farsi,شروع شد. پروژه‌ای به نام گنوپدیا تحت
farsi, همان ایدهٔ مطلب آزاد (و نه تولید وی
farsi,کی) همراه با نیوپدیا شروع به کار کرد
farsi,ه بود. این پروژه متعاقباً غیرفعال شد
farsi, و سازندهٔ آن، ریچارد استالمن که بنی
farsi,ان‌گذار بنیاد نرم‌افزارهای آزاد است،
farsi, شروع به پشتیبانی از ویکی‌پدیا کرد.
farsi,کاربران اسپانیایی در فوریه ۲۰۰۲ از تر
farsi,س تبلیغات تجاری و نبود کنترل در یک وی
farsi,کی‌پدیای انگلیسی‌محور از ویکی‌پدیا به
farsi, روی Encyclopedia Libre رفتند. کمی بع
farsi,د در همان سال، ویلز اعلام کرد که ویکی
farsi,‌پدیا از این پس هیچ تبلیغی نشان نخواه
farsi,د داد و وبگاه آن را به wikipedia.org 
farsi,انتقال داد. بعضی پروژه‌ها به دلایل وی
farsi,رایشی خاص به جاهای دیگری نظیر ویکی‌ای
farsi,نفو انتقال داده شده‌اند. در ویکی‌این
farsi,فو خبری از «دیدگاه بی‌طرفانه» نیست.
farsi,در تاریخ ۲۱ ژوئن ۲۰۰۳ (۳۰ خرداد ۱۳۸۲)
farsi, بنیاد ویکی‌مدیا از بین ویکی‌پدیا و ن
farsi,یوپدیا شکل گرفت. ویکی‌پدیا و پروژه‌ها
farsi,ی خواهرش تا به حال تحت ادارهٔ این ساز
farsi,مان ناسودبر کار کرده‌اند. اولین پروژه
farsi, خواهر ویکی‌پدیا در ماه اکتبر ۲۰۰۲، ب
farsi,ه یاد حملات ۱۱ سپتامبر برای یادآوری ح
farsi,وادث آن روز ساخته شد. ویکی‌واژه که پر
farsi,وژهٔ فرهنگ واژه‌ها بود در دسامبر ۲۰۰۲
farsi,، ویکی‌گفتاورد که مجموعه‌ای از گفته‌
farsi,های معروف بود درست یک هفته بعد از اف
farsi,تتاح ویکی‌مدیا و پروژه ویکی‌کتاب که 
farsi,مجموعه‌ای از کتاب‌های رایگانی است که
farsi, با مشارکت همگانی گردآوری شده‌اند در
farsi, ماه بعد به کار افتاد. ویکی‌مدیا پس 
farsi,از آن شروع به تشکیل پروژه‌های جدیدی 
farsi,کرد که در زیر توضیح داده خواهند شد.
farsi,ویکی‌پدیا از ابتدا وضعیت خود را با شم
farsi,ارش مقاله‌هایش سنجیده‌است. در دو سال 
farsi,ابتدایی پیدایش خود روزانه در حدود ۱۰
farsi,۰ مقاله یا کمتر به آن اضافه می‌شد. و
farsi,یکی‌پدیای انگلیسی در تاریخ ۲۲ ژانویه
farsi, ۲۰۰۳ (۲ بهمن ۱۳۸۱) به سرعت ۱۰۰٬۰۰۰ 
farsi,مقاله رسید. در سال ۲۰۰۴ مقاله‌های وی
farsi,کی‌پدیا به نرخ رشد تقریبی ۱٬۰۰۰ تا ۳
farsi,٬۰۰۰ مقاله در روز رسیدند. در ۲۵ فوری
farsi,ه ۲۰۰۴ (۶ اسفند ۱۳۸۲) ویکی‌پدیا در ت
farsi,مامی زبان‌های خود به میزان ۵۰۰٬۰۰۰ م
farsi,قاله دست یافت. در تاریخ ۲۰ سپتامبر ۲
farsi,۰۰۴ (۲۹ شهریور ۱۳۸۳) مقاله‌های ویکی‌
farsi,پدیا در ۱۰۵ زبان به یک میلیون رسید.
farsi,این دانشنامه روی وبگاه wikipedia.org
farsi, با استفاده از نرم‌افزاری به نام «وی
farsi,کی» که به زبان جزیرهٔ هاوایی به معنی
farsi, «تند» است ساخته شده‌است. ویلز بر ای
farsi,ن باور است که ویکی‌پدیا باید به کیفی
farsi,ت دانشنامه بریتانیکا یا بهتر برسد و 
farsi,چاپ هم بشود. جیمی ویلز بنیان‌گذار وی
farsi,کی‌پدیا آن را اینگونه توصیف می‌کند. 
farsi,«ویکی‌پدیا کوششی برای آفرینش و پخش دانش
farsi,نامه‌ای با بالاترین کیفیت ممکن برای همه
farsi, مردم روی زمین و به زبان مادریشان است.»
farsi,دانشنامه‌های گوناگون دیگری روی اینترنت
farsi, هستند یا قبلاً وجود داشته‌اند. در برخ
farsi,ی از آن‌ها مانند دانشنامه فلسفه استان
farsi,فورد و نیوپدیا (که دیگر وجود ندارد) س
farsi,یاست‌های مقاله‌نویسی سنتی و مالکیت مق
farsi,اله وجود دارند. به‌طور اتفاقی وبگاه‌ه
farsi,ایی مانند h2g2 یا اوریتینگ۲ وجود دارن
farsi,د که به مانند راهنماهایی کلی عمل می‌ک
farsi,نند و مقاله‌هایشان توسط همگان نوشته و
farsi, بازنگری می‌شوند. پروژه‌هایی همچون وی
farsi,کی‌پدیا، Susning.nu و Enciclopedia Li
farsi,bre همگی ویکی هستند و در همه آن‌ها مق
farsi,اله‌ها به دست نویسنده‌های بیشماری نوش
farsi,ته می‌شوند و هیچ گونه بازنگری رسمی رو
farsi,ی آن‌ها اعمال نمی‌شود. ویکی‌پدیا تبدی
farsi,ل به بزرگ‌ترین نوع دانشنامه ویکی چه ا
farsi,ز نظر تعداد مقاله‌ها و چه از نظر تعدا
farsi,د واژه‌ها شده‌است. از بین تمامی دانشن
farsi,امه‌های موجود، ویکی‌پدیا به خاطر داشت
farsi,ن حق تألیف آزاد گنو متمایز گشته‌است.
farsi,ویکی‌پدیا مصرانه می‌خواهد تنها یک دا
farsi,نشنامه باقی بماند. هدف آن تبدیل شدن 
farsi,به مجموعه کاملی از دانش بشری نیست. م
farsi,جموعه سیاست‌هایی تحت عنوان «ویکی‌پدی
farsi,ا چه چیزی نیست» وجود دارند که مشخص م
farsi,ی‌کنند چه اطلاعاتی نباید در ویکی‌پدی
farsi,ا گنجانده شوند. این سیاست‌ها تا به ح
farsi,ال غالباً باعث مشاجره بر سر اضافه کر
farsi,دن، حذف یا اصلاح مطلبی خاص شده‌اند.
farsi,مجوز حق تألیف آزاد گنو (GFDL) که مقال
farsi,ه‌های ویکی‌پدیا با استفاده از آن عرضه
farsi, می‌شوند یکی از مجموعه «کپی‌لفت» کپی‌
farsi,رایت است که اجازه توزیع دوباره، خلق آ
farsi,ثار مشتق شده و استفاده تجاری از مطالب
farsi, مقاله‌ها به شرط ذکر نام نویسنده و ما
farsi,ندن اثر تحت مجوز GFDL را می‌دهد. هنگا
farsi,می که یک نویسنده اصل اثر خود را به پر
farsi,وژه تحویل می‌دهد، حق تألیف او روی آن
farsi, اعمال می‌شود ولی باید قبول کند که ا
farsi,ثرش را تحت مجوز GFDL در اختیار عموم 
farsi,بگذارد. ممکن است مطالب موجود در ویکی
farsi,‌پدیا روی منابع دیگری که از این مجوز
farsi, استفاده می‌کنند قرار بگیرند یا از آ
farsi,ن منابع گرفته شده باشند. مطالب ویکی‌
farsi,پدیا از طریق انبارهای اطلاعاتی روی ص
farsi,دها منبع به صورت آینه یا fork قرار گ
farsi,رفته‌اند. اگر چه تمامی متون عرضه شده
farsi, در ویکی‌پدیا از مجوز GFDL استفاده م
farsi,ی‌کنند، درصد بالایی از تصاویر و پرون
farsi,ده‌های صوتی ویکی‌پدیا رایگان نیستند.
farsi, اقلامی چون لوگوی شرکت‌ها، نمونهٔ آه
farsi,نگ‌ها یا تصویرهای دارای حق تألیفِ خب
farsi,ری با درخواست استفاده منصفانه استفاد
farsi,ه می‌شوند. اقلامی نیز وجود دارند که 
farsi,با شرط عدم اشتقاق یا «فقط برای ویکی‌
farsi,پدیا» به این دانشنامه داده شده‌اند.
farsi,ویکی‌پدیا تا (تا آذر ۱۳۹۴/ دسامبر ۲۰۱۵) درب
farsi,رگیرندهٔ ۲۸۱ زبان با بیش از ده مقاله بوده‌ا
farsi,ست. به‌طور کلی ویکی‌پدیا دارای ۲۹۱ گونه زبا
farsi,ن ملل دنیا و نزدیک به ۳۵ میلیون مقاله است.
farsi,زبان‌های مختلف به صورت مستقل از هم کار
farsi, می‌کنند. ویرایش‌های زبانی به بقیه زبا
farsi,ن‌های دیگر محدود یا وصل نشده‌اند و فقط
farsi, محدود به سیاست‌های کلی نظیر «دیدگاه ب
farsi,ی‌طرفانه» هستند. با اینکه مقاله‌ها و ت
farsi,صاویر بین زبان‌ها به اشتراک گذاشته نشد
farsi,ه‌اند ولی اولی از طریق صفحاتی که در آن
farsi,‌ها درخواست ترجمه می‌شود و روی زبان‌ها
farsi,ی بزرگ‌تر قرار دارند و دومی از راه انب
farsi,ار عمومی ویکی‌پدیا حل شده‌اند. مقاله‌
farsi,های ترجمه شده بخش کوچکی از مقاله‌های 
farsi,موجود همهٔ زبان‌ها را تشکیل می‌دهند.
farsi,فهرست زیر رتبه‌بندی ۲۰ ویکی‌پدیای برتر
farsi, از نظر تعداد مقاله همراه با آمارهای 
farsi,کلی (تا آذر ۱۳۹۴ «دسامبر ۲۰۱۵») است:
farsi,ویکی‌پدیای فارسی هم‌اکنون با ۷۲۴٬۶۰۹ نوش
farsi,تار (شمارش زنده) در ردهٔ هجدهم، و در میا
farsi,ن زبان‌هایی که عموماً در خاورمیانه تکلم
farsi, می‌شود، بالاتر از زبان عربی (ردهٔ ۲۲)،
farsi, زبان ترکی استانبولی (ردهٔ ۳۰) و زبان ع
farsi,بری (ردهٔ ۳۸) در رده نخست قرار دارد. هم
farsi,چنین در میان زبان‌های رایج در آسیا، ویک
farsi,ی‌پدیای فارسی پس از ویکی‌پدیای ویتنامی،
farsi, ژاپنی و چینی در ردهٔ چهارم قرار دارد.
farsi,آسی (اُسِتی) (os) (اکنون ۱۲ مه ۲۰۲۰ میلا
farsi,دی: ۱۲٬۱۰۱ نوشتار)زازاکی (زازا) (diq) (
farsi,اکنون ۱۲ مه ۲۰۲۰ میلادی: ۱۴٬۶۱۲ نوشتار)
farsi,ویکی‌پدیا توسط برنامه متن‌باز مدیاویک
farsi,ی روی دسته‌ای از میزبانان وب مستقر در
farsi, فلوریدا اجرا می‌شود. مدیاویکی نسخه س
farsi,وم این برنامه‌است. در ابتدا ویکی‌پدیا
farsi, روی UseModWiki که توسط کلیفورد آدامز
farsi, (نسخه ۱) نوشته شده بود کار می‌کرد. د
farsi,ر ابتدا برای پیوندهایش از سرهم‌نویسی 
farsi,نگارش شتری استفاده می‌کرد ولی بعدها ا
farsi,مکان استفاده از کروشه (bracket) هم در
farsi, آن ایجاد شد. ویکی‌پدیا ژانویه ۲۰۰۲ د
farsi,ر نسخه جدید خود (فاز دوم پروژه) از مو
farsi,تور پی‌اچ‌پی‌ویکی روی پایگاه داده مای
farsi,‌اس‌کیوال استفاده کرد. این نرم‌افزار 
farsi,که نسخه دوم به حساب می‌آمد توسط ماگنو
farsi,س مانسک و مخصوص دانشنامهٔ ویکی‌پدیا ن
farsi,وشته شده بود. به خاطر تقاضاهای زیاد ب
farsi,ه منظور بهبود کیفیت، اصلاحات زیادی رو
farsi,ی آن انجام شد. سرانجام این نرم‌افزار
farsi, توسط لی دانیل کراکر دوباره‌نویسی شد
farsi,. این نرم‌افزار که نسخه شماره سه محس
farsi,وب می‌شد در ژوئیه ۲۰۰۲ نوشته شد و مد
farsi,یاویکی نام‌گذاری گردید. مجوز استفاده
farsi, از آن تحت گنو است و در تمامی پروژه‌
farsi,های ویکی‌مدیا از آن استفاده می‌شود.
farsi,ویکی‌پدیا روی دسته‌ای از میزبان‌های وب
farsi, لینوکس در فلوریدا و چهار مکان دیگر می
farsi,زبانی می‌شود. این وبگاه تا سال ۲۰۰۴ تن
farsi,ها روی یک سرور بود تا آنجا که تنظیمات 
farsi,میزبان آن تقسیم به چندین قسمت شد. در ژ
farsi,انویه ۲۰۰۵ ویکی‌پدیا روی ۳۹ سرور مختلف
farsi, در فلوریدا مشغول به کار بود. پیکربند
farsi,ی آن عبارت است از یک بانک اطلاعاتی بز
farsi,رگ تحت مای‌اس‌کیوال، چندین میزبان خاد
farsi,م بانک اطلاعاتی و ۲۱ میزبان وب که با 
farsi,نرم‌افزار آپاچی کار می‌کنند و ۷ تا که
farsi, تحت میزبان Squid Cache کار می‌کنند.
farsi,در سپتامبر ۲۰۰۵، گروه میزبان‌های وب وی
farsi,کی‌پدیا به بیش از ۱۰۰ عدد افزایش یافت 
farsi,و بنابر تقاضای مسئول مرکز داده‌ها، تما
farsi,می میزبان‌ها با موفقیت، به ساختمان جدی
farsi,د واقع در مرکز شهر تامپا منتقل شدند.
farsi,تقاضاهای صفحهٔ وب ابتدا به میزبانان م
farsi,خزن Squid caching فرستاده می‌شوند. در
farsi,خواست‌هایی که قابلیت انجام شدن در این
farsi, میزبان‌ها را ندارند به دو میزبان مت
farsi,عادل‌ساز که نرم‌افزار perlbal روی آن
farsi,‌ها نصب است فرستاده می‌شوند. سپس تقا
farsi,ضاها برای یکی از میزبان‌های وب آپاچی
farsi, فرستاده می‌شوند تا مورد پردازش قرار
farsi, گیرند. میزبان‌های وب، صفحات را به ش
farsi,کل لازم پردازش می‌کنند. برای افزایش 
farsi,سرعت، صفحاتی که برای کاربران ناشناس 
farsi,پردازش شده‌اند در یک فایل‌سیستم ذخیر
farsi,ه (cache) می‌شوند تا زمانی‌که از درج
farsi,ه اعتبار ساقط شوند. این امر باعث عدم
farsi, پردازش صفحات معمول شده و در نتیجه د
farsi,ر زمان و انرژی صرفه‌جویی می‌شود. ویک
farsi,ی‌مدیا ساخت شبکه‌ای جهانی از میزبانا
farsi,ن مخزن در کنار ۳ میزبان مخزن خود در 
farsi,فرانسه را آغاز کرده‌است تا سرعت پاسخ
farsi,گویی را بالاتر ببرد. در حال حاضر یک 
farsi,گروه میزبان جدید در هلند و در کره جن
farsi,وبی شروع به کار کرده‌اند و پاسخگوی ب
farsi,خش بزرگی از ترافیک ویکی‌پدیا هستند.
farsi,تقریباً هر کاربری می‌تواند مقاله‌های و
farsi,یکی‌پدیا را ویرایش کند و تغییرات خود ر
farsi,ا سریعاً ببیند. فکر ویرایش مقاله‌ها بر
farsi, این اساس شکل گرفته که همکاری کاربران 
farsi,با یکدیگر می‌تواند در بهبود کیفیت مقال
farsi,ه‌ها در طول زمان تأثیر به سزایی داشته 
farsi,باشد؛ همان‌طور که در توسعهٔ نرم‌افزاره
farsi,ای متن‌باز داشته‌است. نویسندگان آن نیا
farsi,زی به داشتن مدارک رسمی یا تخصص در زمین
farsi,هٔ موضوعی که ویرایش می‌کنند ندارند. به
farsi, آن‌ها اخطار داده می‌شود که ممکن است م
farsi,قاله‌های آن‌ها توسط هر کس و به هر نحوی
farsi, که می‌خواهد، بی‌رحمانه مورد ویرایش قر
farsi,ار گیرند و توزیع شوند. مقاله‌های آن‌ها
farsi, توسط هیچ شخص خاصی یا گروه تحریریه‌ای 
farsi,بازنگری نمی‌شوند. تصمیم‌گیری در مورد 
farsi,مطالب و سیاست‌های ویرایشی ویکی‌پدیا ب
farsi,ا توافق عام و رأی‌گیری صورت می‌گیرد.
farsi,به دلیل بازبودن ویکی‌پدیا «جنگ‌های ویر
farsi,ایشی» (که «جنگ‌های بازنگری» نیز گفته م
farsi,ی‌شوند) و مشاجره‌های طولانی غالباً وقت
farsi,ی اتفاق می‌افتند که ویرایشگران با نظرا
farsi,ت مختلف خود، با هم به توافق نمی‌رسند. 
farsi,اعضای انجمنهای ویکی‌پدیا روند ویرایشی 
farsi,آن را یک عمل دسته‌جمعی و نوعی جریان اج
farsi,تماعی و تکامل تدریجی داروینی می‌دانند.
farsi, مقاله‌ها همیشه در معرض ویرایش قرار دا
farsi,رند بدینگونه که ویکی‌پدیا هیچگاه مقاله
farsi,‌ای را تمام شده تلقی نمی‌کند. تخریب، م
farsi,شکل دائمی ویکی‌پدیا بوده‌است، امّا در 
farsi,این سایت اگر در مقاله‌ای اقدام به تخری
farsi,ب ویا لجن‌پراکنی صورت پذیرد بلافاصله 
farsi,با اضافات دیگران تصحیح خواهد شد.[۲۰]
farsi,ویکی‌پدیا از تمام ویرایشگران خود می‌خو
farsi,اهد تا هنگام نوشتن «دیدگاه بی‌طرفانه» 
