a_1,a_2,a_3,a_4,a_5,a_6,a_7,location
-13,-60,-63,-18,-70,-73,-73,1
-12,-60,-68,-15,-74,-73,-70,1
-12,-64,-63,-18,-69,-72,-74,1
-17,-63,-65,-27,-86,-72,-74,1
-27,-59,-56,-38,-62,-75,-79,1
-41,-58,-66,-41,-73,-71,-79,1
-39,-54,-55,-37,-71,-64,-67,1
-38,-56,-55,-39,-75,-71,-75,1
-38,-62,-57,-41,-77,-65,-68,1
-41,-57,-64,-42,-74,-69,-70,1
-43,-59,-63,-40,-74,-66,-64,1
-44,-58,-63,-39,-80,-71,-72,1
-45,-58,-63,-45,-80,-76,-65,1
-44,-57,-64,-40,-75,-69,-64,1
-42,-58,-63,-41,-75,-69,-67,1
-44,-57,-62,-41,-75,-65,-68,1
-45,-58,-62,-40,-73,-70,-67,1
-41,-59,-65,-47,-75,-68,-66,1
-40,-63,-67,-40,-75,-70,-70,1
-40,-56,-57,-35,-84,-70,-66,1
-36,-60,-57,-37,-68,-66,-77,1
-36,-59,-57,-19,-70,-69,-75,1
-17,-59,-63,-15,-70,-76,-85,1
-35,-57,-54,-35,-64,-78,-76,1
-39,-54,-55,-37,-61,-77,-79,1
-42,-56,-52,-36,-75,-68,-81,1
-39,-51,-64,-38,-71,-78,-78,1
-43,-53,-53,-38,-63,-76,-73,1
-40,-56,-56,-38,-66,-77,-74,1
-41,-59,-53,-40,-62,-72,-76,1
-42,-59,-57,-51,-62,-72,-76,1
-49,-62,-59,-43,-78,-79,-81,1
-48,-61,-58,-44,-75,-80,-89,1
-50,-54,-60,-43,-74,-76,-77,1
-49,-56,-58,-42,-77,-76,-78,1
-51,-57,-59,-45,-77,-75,-81,1
-50,-58,-57,-42,-76,-74,-80,1
-48,-58,-58,-44,-71,-77,-79,1
-50,-55,-58,-43,-73,-75,-80,1
-50,-56,-63,-45,-71,-76,-78,1
-50,-57,-58,-44,-82,-75,-78,1
-50,-55,-59,-41,-82,-75,-78,1
-48,-63,-58,-44,-74,-79,-78,1
-45,-56,-60,-46,-81,-79,-75,1
-50,-57,-61,-50,-74,-83,-79,1
-50,-57,-57,-50,-70,-77,-80,1
-50,-55,-57,-48,-80,-81,-76,1
-49,-56,-60,-47,-72,-80,-79,1
-48,-57,-60,-44,-71,-85,-77,1
-49,-56,-59,-49,-74,-82,-80,1
-48,-63,-55,-42,-71,-81,-79,1
-44,-63,-67,-46,-63,-81,-78,1
-40,-59,-67,-50,-68,-79,-78,1
-40,-63,-64,-50,-64,-75,-78,1
-52,-60,-65,-48,-64,-79,-75,1
-42,-58,-65,-46,-71,-77,-73,1
-42,-61,-63,-44,-74,-76,-75,1
-43,-62,-66,-43,-73,-77,-76,1
-41,-60,-65,-51,-72,-74,-78,1
-44,-59,-63,-42,-72,-79,-80,1
-43,-60,-68,-46,-72,-83,-79,1
-40,-58,-60,-49,-72,-74,-80,1
-37,-54,-55,-38,-72,-76,-79,1
-38,-55,-57,-37,-64,-68,-73,1
-37,-56,-55,-38,-71,-75,-78,1
-40,-55,-66,-39,-75,-73,-78,1
-40,-56,-53,-42,-65,-72,-70,1
-40,-59,-57,-39,-67,-81,-74,1
-39,-56,-53,-49,-70,-80,-75,1
-42,-60,-56,-44,-74,-76,-80,1
-44,-54,-54,-45,-73,-71,-79,1
-44,-57,-53,-46,-67,-78,-79,1
-43,-55,-55,-44,-68,-76,-79,1
-39,-59,-57,-42,-75,-78,-74,1
-41,-57,-59,-44,-65,-76,-77,1
-42,-57,-51,-41,-69,-77,-75,1
-45,-58,-55,-46,-69,-75,-73,1
-49,-56,-58,-50,-64,-75,-73,1
-37,-58,-57,-37,-73,-75,-71,1
-35,-58,-55,-38,-61,-74,-79,1
-38,-55,-57,-41,-66,-73,-69,1
-38,-53,-53,-38,-66,-70,-69,1
-40,-50,-52,-48,-68,-73,-71,1
-37,-53,-51,-37,-66,-71,-75,1
-38,-56,-53,-28,-71,-67,-72,1
-38,-51,-53,-37,-67,-67,-68,1
-37,-56,-57,-39,-61,-72,-74,1
-37,-56,-53,-43,-63,-72,-77,1
-37,-59,-54,-39,-72,-75,-70,1
-37,-60,-53,-39,-65,-70,-68,1
-38,-58,-54,-38,-67,-72,-71,1
-37,-60,-52,-38,-65,-70,-70,1
-37,-60,-53,-37,-64,-68,-67,1
-38,-57,-55,-38,-62,-67,-65,1
-38,-56,-56,-37,-62,-67,-67,1
-37,-59,-55,-38,-65,-67,-68,1
-37,-60,-53,-38,-65,-67,-70,1
-37,-61,-55,-40,-63,-70,-67,1
-37,-58,-56,-38,-63,-75,-74,1
-38,-59,-52,-44,-69,-68,-76,1
-48,-58,-56,-38,-65,-67,-76,1
-45,-58,-65,-38,-65,-66,-70,1
-40,-58,-52,-41,-66,-63,-75,1
-38,-52,-59,-48,-67,-64,-75,1
-39,-55,-55,-47,-80,-66,-63,1
-37,-55,-57,-42,-63,-65,-64,1
-43,-53,-51,-42,-73,-71,-66,1
-42,-53,-50,-44,-71,-68,-64,1
-42,-54,-51,-47,-64,-70,-65,1
-42,-55,-49,-45,-64,-70,-65,1
-42,-54,-50,-45,-63,-68,-64,1
-42,-53,-49,-44,-74,-70,-65,1
-40,-54,-49,-43,-62,-70,-65,1
-40,-53,-50,-40,-62,-69,-65,1
-42,-54,-49,-41,-63,-69,-64,1
-40,-52,-51,-45,-64,-70,-65,1
-39,-53,-51,-40,-64,-67,-64,1
-40,-52,-50,-41,-64,-69,-66,1
-40,-55,-49,-40,-61,-69,-66,1
-40,-53,-49,-41,-71,-66,-65,1
-40,-52,-49,-41,-62,-69,-65,1
-40,-53,-53,-40,-64,-64,-73,1
-42,-54,-52,-40,-61,-73,-71,1
-41,-58,-48,-40,-62,-72,-76,1
-41,-55,-58,-43,-60,-71,-72,1
-40,-55,-52,-43,-60,-76,-72,1
-41,-55,-54,-40,-62,-71,-72,1
-39,-53,-51,-43,-70,-72,-70,1
-41,-52,-57,-41,-63,-73,-68,1
-41,-52,-55,-40,-62,-76,-64,1
-36,-60,-53,-35,-72,-71,-64,1
-37,-55,-55,-42,-69,-66,-69,1
-35,-56,-55,-36,-69,-67,-78,1
-37,-54,-55,-42,-63,-71,-78,1
-37,-51,-54,-43,-60,-69,-70,1
-36,-55,-53,-46,-63,-68,-71,1
-38,-54,-53,-42,-69,-72,-66,1
-36,-51,-67,-40,-63,-74,-68,1
-36,-56,-53,-43,-63,-65,-70,1
-35,-53,-55,-47,-61,-66,-71,1
-35,-53,-57,-46,-64,-65,-70,1
-35,-54,-59,-46,-62,-66,-70,1
-35,-53,-58,-44,-63,-68,-71,1
-36,-53,-57,-40,-66,-70,-69,1
-36,-56,-57,-46,-68,-68,-70,1
-37,-50,-56,-39,-67,-69,-70,1
-37,-49,-57,-42,-62,-64,-71,1
-36,-54,-53,-46,-63,-66,-76,1
-35,-59,-57,-42,-66,-71,-70,1
-37,-58,-60,-37,-75,-65,-67,1
-40,-54,-57,-42,-64,-67,-71,1
-44,-58,-58,-41,-75,-70,-64,1
-41,-57,-63,-40,-73,-66,-65,1
-37,-56,-55,-45,-64,-61,-69,1
-41,-58,-54,-42,-71,-65,-71,1
-40,-55,-56,-36,-64,-65,-66,1
-40,-57,-58,-38,-64,-74,-79,1
-39,-51,-57,-36,-64,-65,-71,1
-35,-57,-59,-36,-63,-74,-75,1
-35,-57,-53,-34,-64,-76,-76,1
-19,-57,-59,-38,-66,-72,-71,1
-15,-58,-56,-15,-74,-76,-71,1
-14,-54,-57,-15,-69,-82,-71,1
-10,-57,-57,-36,-73,-82,-72,1
-14,-55,-57,-34,-67,-71,-72,1
-14,-55,-58,-36,-67,-72,-74,1
-15,-55,-57,-16,-71,-72,-74,1
-16,-55,-56,-15,-64,-78,-76,1
-17,-53,-57,-17,-70,-77,-73,1
-34,-55,-58,-15,-65,-73,-72,1
-34,-54,-61,-34,-70,-72,-73,1
-35,-55,-52,-14,-71,-69,-82,1
-18,-50,-57,-36,-62,-66,-71,1
-27,-60,-56,-18,-65,-68,-72,1
-18,-57,-63,-16,-72,-73,-66,1
-18,-57,-63,-34,-72,-65,-75,1
-37,-56,-58,-45,-65,-67,-72,1
-35,-58,-50,-35,-62,-72,-67,1
-37,-51,-56,-36,-62,-72,-71,1
-38,-55,-51,-43,-64,-73,-73,1
-38,-55,-51,-41,-72,-70,-73,1
-43,-55,-54,-42,-58,-71,-72,1
-40,-57,-57,-43,-68,-89,-72,1
-39,-56,-53,-46,-57,-73,-77,1
-36,-57,-52,-40,-66,-75,-75,1
-40,-55,-57,-37,-71,-79,-77,1
-46,-54,-53,-48,-71,-78,-73,1
-40,-57,-51,-46,-65,-75,-79,1
-48,-56,-55,-46,-65,-86,-79,1
-45,-59,-54,-51,-69,-77,-85,1
-46,-58,-56,-43,-70,-72,-80,1
-39,-54,-56,-40,-70,-77,-78,1
-41,-58,-60,-47,-70,-82,-74,1
-40,-54,-54,-45,-71,-76,-74,1
-42,-55,-56,-43,-73,-76,-75,1
-41,-60,-54,-43,-73,-80,-74,1
-42,-54,-55,-49,-67,-80,-74,1
-40,-55,-57,-50,-66,-75,-73,1
-42,-55,-57,-44,-69,-73,-77,1
-45,-55,-54,-43,-71,-89,-77,1
-46,-55,-54,-45,-62,-76,-73,1
-47,-58,-55,-45,-62,-79,-85,1
-46,-59,-55,-49,-69,-74,-84,1
-45,-57,-55,-48,-67,-77,-84,1
-46,-59,-54,-52,-67,-77,-83,1
-43,-55,-54,-47,-67,-77,-79,1
-39,-53,-56,-48,-66,-69,-72,1
-37,-52,-57,-36,-71,-66,-75,1
-42,-52,-54,-35,-65,-69,-73,1
-37,-50,-50,-36,-58,-69,-75,1
-38,-57,-50,-38,-60,-74,-69,1
-39,-55,-54,-48,-76,-73,-80,1
-49,-54,-55,-53,-66,-73,-80,1
-42,-54,-58,-41,-63,-75,-78,1
-40,-55,-53,-36,-60,-77,-77,1
-37,-56,-56,-35,-69,-73,-69,1
-40,-59,-59,-39,-73,-71,-72,1
-36,-58,-59,-36,-69,-71,-77,1
-40,-58,-57,-40,-74,-79,-77,1
-42,-51,-54,-41,-67,-72,-77,1
-41,-55,-53,-37,-64,-79,-76,1
-42,-54,-49,-41,-68,-71,-77,1
-38,-53,-51,-39,-68,-76,-72,1
-34,-48,-51,-37,-70,-78,-69,1
-34,-53,-59,-36,-75,-73,-69,1
-35,-56,-52,-36,-72,-69,-67,1
-36,-55,-55,-36,-60,-73,-72,1
-35,-54,-56,-34,-61,-71,-74,1
-35,-54,-54,-35,-59,-73,-70,1
-36,-54,-54,-36,-62,-71,-70,1
-34,-57,-55,-35,-59,-71,-69,1
-36,-58,-52,-26,-61,-70,-70,1
-34,-61,-52,-27,-61,-67,-69,1
-35,-56,-57,-34,-60,-73,-80,1
-34,-61,-61,-36,-60,-73,-76,1
-35,-59,-57,-27,-61,-71,-76,1
-35,-60,-54,-35,-61,-81,-80,1
-36,-60,-53,-36,-63,-70,-77,1
-34,-62,-57,-36,-61,-71,-71,1
-36,-59,-57,-35,-61,-65,-80,1
-37,-59,-57,-36,-64,-66,-70,1
-36,-59,-55,-36,-65,-66,-70,1
-36,-59,-55,-40,-65,-66,-69,1
-35,-55,-56,-37,-66,-65,-69,1
-34,-55,-55,-36,-62,-70,-71,1
-35,-58,-55,-36,-62,-70,-73,1
-41,-58,-53,-43,-61,-70,-70,1
-37,-56,-58,-36,-80,-72,-70,1
-36,-60,-57,-37,-80,-72,-72,1
-36,-56,-62,-36,-80,-71,-69,1
-35,-53,-62,-35,-68,-70,-69,1
-36,-61,-57,-27,-71,-73,-70,1
-13,-54,-57,-21,-77,-72,-72,1
-12,-54,-54,-11,-70,-75,-74,1
-17,-56,-54,-36,-66,-73,-77,1
-18,-53,-60,-17,-71,-74,-71,1
-36,-54,-56,-16,-61,-64,-79,1
-36,-55,-65,-34,-66,-70,-74,1
-36,-54,-57,-34,-60,-69,-75,1
-39,-57,-54,-38,-56,-70,-72,1
-26,-57,-53,-37,-67,-72,-69,1
-17,-57,-55,-15,-62,-68,-70,1
-17,-56,-57,-35,-71,-69,-74,1
-11,-63,-65,-18,-70,-72,-73,1
-10,-58,-54,-18,-70,-72,-73,1
-12,-55,-57,-16,-70,-76,-75,1
-12,-56,-58,-16,-70,-75,-79,1
-10,-58,-62,-20,-73,-76,-74,1
-13,-55,-55,-21,-70,-73,-77,1
-36,-55,-50,-41,-66,-72,-69,1
-35,-52,-55,-38,-62,-66,-85,1
-38,-54,-52,-36,-63,-65,-70,1
-39,-52,-53,-36,-61,-67,-70,1
-40,-53,-55,-37,-71,-75,-74,1
-40,-54,-52,-38,-60,-69,-75,1
-38,-54,-51,-37,-66,-74,-76,1
-37,-58,-55,-38,-60,-74,-76,1
-41,-53,-56,-36,-62,-75,-77,1
-43,-56,-59,-37,-64,-74,-77,1
-36,-55,-59,-37,-63,-70,-73,1
-48,-53,-60,-36,-58,-73,-77,1
-48,-53,-56,-37,-59,-75,-83,1
-44,-52,-56,-47,-63,-71,-75,1
-38,-53,-54,-43,-70,-77,-75,1
-43,-54,-56,-40,-67,-70,-71,1
-40,-55,-53,-35,-64,-70,-82,1
-40,-54,-52,-39,-65,-70,-74,1
-43,-52,-55,-35,-61,-75,-76,1
-42,-53,-53,-42,-63,-72,-72,1
-40,-56,-53,-44,-69,-77,-79,1
-39,-58,-54,-39,-62,-71,-77,1
-37,-54,-54,-41,-64,-72,-78,1
-39,-52,-50,-39,-61,-75,-71,1
-41,-56,-50,-43,-66,-77,-76,1
-41,-54,-59,-41,-60,-76,-74,1
-42,-54,-54,-43,-59,-74,-72,1
-39,-57,-55,-42,-61,-74,-75,1
-42,-54,-56,-39,-63,-76,-78,1
-38,-56,-48,-39,-63,-70,-73,1
-39,-51,-50,-43,-63,-71,-66,1
-40,-50,-50,-37,-64,-71,-78,1
-37,-55,-56,-37,-67,-70,-66,1
-38,-54,-55,-36,-60,-71,-75,1
-42,-53,-62,-27,-63,-72,-79,1
-36,-51,-52,-37,-70,-71,-64,1
-36,-55,-54,-36,-67,-65,-73,1
-38,-60,-57,-39,-70,-70,-74,1
-36,-50,-58,-41,-74,-74,-69,1
-37,-58,-53,-43,-76,-66,-69,1
-38,-56,-52,-41,-76,-71,-66,1
-36,-56,-56,-37,-59,-66,-75,1
-36,-55,-54,-40,-71,-71,-71,1
-19,-53,-60,-37,-69,-72,-69,1
-37,-53,-54,-37,-67,-79,-72,1
-36,-57,-58,-36,-62,-74,-73,1
-36,-55,-53,-35,-64,-72,-66,1
-37,-53,-56,-35,-74,-76,-79,1
-37,-57,-55,-40,-75,-71,-64,1
-35,-58,-54,-36,-69,-69,-73,1
-36,-57,-56,-37,-69,-77,-72,1
-36,-58,-56,-39,-62,-67,-73,1
-19,-60,-54,-35,-69,-69,-78,1
-17,-62,-54,-22,-65,-70,-72,1
-34,-53,-52,-19,-65,-75,-69,1
-15,-55,-62,-25,-71,-67,-68,1
-14,-56,-57,-35,-68,-77,-72,1
-11,-59,-60,-27,-70,-74,-71,1
-34,-53,-56,-18,-70,-76,-75,1
-36,-54,-56,-35,-61,-70,-79,1
-36,-52,-59,-38,-64,-72,-74,1
-38,-55,-56,-42,-66,-72,-75,1
-38,-54,-53,-36,-66,-73,-75,1
-36,-53,-50,-37,-70,-72,-72,1
-38,-50,-49,-42,-69,-73,-77,1
-38,-53,-52,-40,-63,-73,-77,1
-41,-54,-52,-37,-68,-73,-77,1
-46,-51,-51,-36,-67,-73,-76,1
-40,-53,-51,-37,-78,-73,-77,1
-45,-53,-51,-36,-78,-72,-76,1
-44,-52,-51,-36,-78,-72,-77,1
-44,-53,-52,-36,-70,-72,-76,1
-40,-54,-52,-35,-68,-71,-76,1
-39,-59,-49,-37,-68,-70,-72,1
-39,-52,-56,-36,-64,-68,-69,1
-38,-55,-56,-36,-64,-70,-66,1
-38,-56,-48,-39,-71,-72,-71,1
-37,-57,-51,-39,-71,-71,-72,1
-40,-58,-49,-41,-75,-71,-70,1
-40,-57,-47,-42,-64,-74,-71,1
-40,-58,-47,-41,-65,-73,-70,1
-40,-70,-47,-43,-69,-73,-84,1
-40,-57,-47,-42,-69,-73,-70,1
-38,-52,-50,-41,-69,-68,-72,1
-37,-54,-53,-36,-65,-76,-72,1
-36,-54,-54,-37,-66,-75,-71,1
-36,-58,-54,-27,-67,-73,-78,1
-36,-54,-52,-20,-66,-70,-74,1
-37,-57,-51,-39,-70,-76,-72,1
-35,-51,-53,-37,-63,-72,-76,1
-38,-51,-53,-38,-63,-72,-73,1
-37,-54,-55,-37,-67,-71,-70,1
-36,-52,-55,-36,-69,-64,-70,1
-37,-54,-47,-36,-63,-70,-70,1
-46,-52,-46,-39,-74,-71,-78,1
-44,-50,-57,-45,-61,-72,-67,1
-40,-52,-53,-39,-61,-75,-73,1
-43,-55,-50,-39,-61,-69,-73,1
-43,-55,-52,-42,-60,-74,-67,1
-43,-54,-55,-41,-68,-71,-74,1
-43,-47,-50,-45,-65,-66,-69,1
-37,-46,-51,-39,-63,-69,-69,1
-36,-55,-51,-37,-75,-71,-70,1
-38,-59,-61,-36,-68,-69,-73,1
-36,-55,-58,-37,-76,-72,-69,1
-37,-53,-57,-38,-71,-68,-64,1
-34,-60,-52,-37,-71,-66,-75,1
-34,-54,-56,-42,-68,-76,-75,1
-39,-57,-50,-35,-63,-70,-79,1
-39,-48,-51,-38,-63,-69,-89,1
-38,-52,-62,-37,-69,-73,-71,1
-42,-52,-56,-43,-64,-76,-74,1
-39,-54,-55,-37,-64,-70,-70,1
-43,-57,-52,-40,-58,-72,-70,1
-40,-54,-53,-36,-61,-77,-74,1
-37,-55,-55,-40,-73,-72,-74,1
-38,-58,-62,-41,-64,-76,-73,1
-43,-54,-59,-40,-68,-76,-74,1
-45,-52,-59,-43,-71,-74,-79,1
-45,-57,-59,-43,-71,-74,-79,1
-47,-60,-56,-48,-85,-85,-81,1
-50,-56,-55,-47,-63,-86,-77,1
-48,-57,-56,-49,-64,-87,-76,1
-46,-57,-55,-44,-65,-86,-77,1
-45,-58,-54,-46,-69,-87,-77,1
-48,-54,-50,-49,-61,-81,-84,2
-54,-53,-54,-50,-63,-79,-77,2
-50,-56,-54,-50,-71,-79,-77,2
-49,-57,-52,-51,-60,-89,-83,2
-48,-52,-54,-47,-61,-80,-86,2
-46,-56,-53,-53,-61,-87,-77,2
-52,-56,-58,-48,-59,-87,-92,2
-45,-51,-59,-53,-62,-82,-85,2
-46,-56,-57,-55,-66,-82,-85,2
-49,-53,-55,-46,-59,-81,-93,2
-49,-52,-58,-46,-57,-77,-77,2
-49,-49,-53,-47,-57,-80,-77,2
-50,-49,-54,-48,-62,-79,-75,2
-56,-51,-47,-51,-71,-79,-75,2
-60,-50,-49,-54,-71,-83,-82,2
-60,-54,-50,-50,-60,-84,-85,2
-48,-56,-50,-45,-61,-80,-80,2
-49,-49,-53,-48,-63,-84,-88,2
-48,-50,-55,-50,-66,-78,-75,2
-53,-55,-55,-53,-66,-79,-86,2
-46,-58,-54,-49,-62,-81,-88,2
-46,-56,-54,-49,-63,-81,-82,2
-47,-54,-55,-47,-66,-78,-86,2
-47,-53,-49,-49,-66,-76,-80,2
-45,-54,-48,-49,-65,-78,-81,2
-45,-53,-55,-49,-63,-78,-81,2
-46,-54,-53,-48,-64,-78,-79,2
-45,-54,-54,-48,-63,-78,-82,2
-45,-53,-55,-50,-63,-83,-82,2
-45,-55,-54,-47,-63,-78,-80,2
-46,-53,-54,-46,-63,-79,-82,2
-46,-52,-54,-47,-64,-79,-81,2
-46,-60,-54,-48,-63,-80,-83,2
-46,-54,-53,-47,-63,-85,-80,2
-47,-55,-55,-49,-67,-85,-80,2
-46,-58,-55,-49,-64,-78,-84,2
-46,-60,-56,-47,-66,-83,-85,2
-49,-52,-61,-52,-61,-82,-88,2
-48,-55,-58,-49,-67,-83,-88,2
-48,-52,-52,-56,-68,-81,-84,2
-49,-51,-58,-45,-65,-83,-84,2
-52,-60,-59,-40,-60,-81,-81,2
-52,-56,-56,-41,-63,-77,-80,2
-48,-57,-54,-50,-66,-83,-78,2
-49,-53,-51,-53,-67,-81,-83,2
-48,-53,-51,-50,-66,-79,-86,2
-47,-55,-54,-50,-72,-80,-88,2
-49,-52,-56,-48,-55,-81,-82,2
-53,-54,-59,-54,-62,-81,-82,2
-55,-51,-52,-48,-60,-78,-86,2
-49,-52,-57,-54,-59,-85,-88,2
-54,-55,-52,-50,-58,-78,-86,2
-51,-56,-51,-58,-58,-80,-86,2
-51,-51,-52,-57,-56,-81,-77,2
-46,-54,-50,-54,-59,-81,-77,2
-49,-53,-50,-55,-59,-80,-87,2
-48,-50,-54,-51,-59,-77,-75,2
-49,-53,-53,-51,-64,-79,-80,2
-48,-53,-50,-55,-66,-83,-82,2
-50,-57,-53,-49,-67,-83,-82,2
-45,-59,-56,-54,-64,-84,-78,2
-50,-57,-60,-43,-66,-77,-82,2
-46,-53,-52,-45,-62,-79,-78,2
-47,-53,-55,-57,-62,-80,-78,2
-48,-55,-54,-48,-67,-85,-81,2
-44,-53,-55,-48,-66,-79,-86,2
-43,-55,-53,-52,-60,-78,-86,2
-50,-56,-56,-60,-60,-78,-86,2
-50,-58,-54,-51,-60,-80,-82,2
-51,-56,-51,-55,-62,-85,-83,2
-47,-54,-49,-52,-58,-79,-86,2
-54,-59,-52,-63,-62,-76,-81,2
-52,-57,-51,-55,-65,-85,-85,2
-52,-57,-61,-59,-59,-85,-85,2
-52,-48,-56,-53,-62,-78,-81,2
-49,-55,-51,-49,-63,-81,-73,2
-46,-48,-52,-52,-62,-77,-80,2
-45,-56,-57,-47,-61,-76,-78,2
-48,-55,-58,-52,-64,-92,-79,2
-49,-52,-48,-52,-62,-78,-75,2
-49,-50,-51,-50,-62,-75,-75,2
-49,-55,-48,-49,-62,-79,-84,2
-50,-56,-48,-48,-63,-80,-91,2
-50,-58,-51,-52,-60,-81,-79,2
-49,-52,-46,-48,-60,-79,-80,2
-52,-52,-49,-49,-58,-77,-84,2
-45,-50,-52,-53,-61,-75,-79,2
-49,-52,-48,-44,-59,-80,-78,2
-47,-58,-49,-45,-66,-85,-79,2
-51,-52,-49,-50,-63,-79,-79,2
-49,-51,-53,-41,-64,-77,-79,2
-49,-52,-54,-52,-60,-83,-79,2
-50,-56,-53,-40,-65,-86,-80,2
-47,-58,-56,-44,-64,-80,-85,2
-47,-53,-54,-49,-63,-88,-85,2
-50,-57,-54,-44,-67,-85,-85,2
-46,-57,-52,-43,-69,-86,-85,2
-45,-50,-57,-49,-63,-81,-82,2
-48,-59,-53,-45,-74,-81,-81,2
-46,-55,-58,-47,-64,-78,-78,2
-51,-55,-54,-49,-60,-79,-84,2
-51,-58,-51,-51,-62,-79,-86,2
-53,-59,-51,-41,-59,-78,-77,2
-49,-54,-55,-49,-63,-81,-87,2
-52,-52,-57,-45,-67,-81,-86,2
-50,-55,-51,-57,-58,-86,-86,2
-45,-53,-50,-49,-67,-75,-77,2
-49,-55,-49,-49,-60,-80,-79,2
-46,-53,-54,-52,-64,-79,-84,2
-46,-49,-51,-45,-62,-79,-79,2
-54,-52,-53,-43,-68,-79,-79,2
-51,-55,-50,-50,-59,-79,-85,2
-48,-60,-57,-52,-61,-85,-84,2
-51,-63,-55,-54,-69,-84,-79,2
-52,-64,-54,-56,-70,-84,-78,2
-52,-64,-54,-54,-68,-85,-79,2
-52,-62,-55,-52,-67,-83,-75,2
-52,-60,-52,-54,-66,-85,-79,2
-51,-60,-55,-53,-72,-85,-78,2
-50,-59,-55,-47,-72,-79,-80,2
-51,-52,-56,-56,-63,-79,-80,2
-51,-55,-51,-49,-61,-82,-81,2
-53,-52,-51,-53,-64,-80,-81,2
-51,-51,-52,-52,-63,-84,-78,2
-52,-52,-52,-49,-62,-80,-80,2
-51,-52,-51,-54,-61,-79,-76,2
-51,-54,-52,-57,-62,-79,-79,2
-50,-59,-53,-54,-65,-77,-78,2
-53,-59,-48,-57,-66,-80,-77,2
-52,-57,-50,-52,-65,-79,-77,2
-51,-57,-51,-51,-65,-80,-80,2
-52,-57,-50,-51,-65,-79,-79,2
-52,-57,-49,-50,-66,-80,-80,2
-52,-56,-50,-56,-66,-81,-80,2
-52,-56,-50,-56,-69,-79,-78,2
-53,-58,-50,-52,-66,-78,-79,2
-53,-56,-50,-50,-67,-80,-81,2
-49,-56,-49,-52,-64,-83,-80,2
-52,-56,-47,-53,-61,-78,-79,2
-52,-57,-50,-52,-60,-78,-79,2
-53,-56,-46,-51,-62,-80,-80,2
-53,-57,-50,-54,-60,-80,-81,2
-52,-56,-50,-52,-60,-80,-80,2
-52,-56,-50,-54,-59,-79,-80,2
-52,-58,-51,-53,-60,-80,-80,2
-52,-55,-56,-51,-69,-85,-85,2
-50,-55,-54,-50,-69,-79,-82,2
-53,-55,-54,-51,-69,-79,-81,2
-52,-56,-53,-53,-70,-80,-78,2
-50,-52,-53,-53,-67,-86,-85,2
-49,-58,-55,-52,-60,-83,-84,2
-50,-49,-52,-56,-69,-80,-81,2
-46,-56,-52,-51,-62,-85,-81,2
-48,-53,-54,-45,-61,-86,-83,2
-50,-56,-53,-52,-68,-84,-77,2
-50,-52,-52,-56,-67,-80,-89,2
-51,-53,-52,-55,-68,-78,-91,2
-51,-60,-52,-52,-67,-79,-91,2
-51,-52,-51,-51,-64,-79,-89,2
-52,-52,-50,-49,-66,-77,-88,2
-50,-52,-52,-47,-65,-77,-89,2
-51,-52,-51,-51,-65,-77,-89,2
-51,-52,-51,-47,-65,-76,-87,2
-51,-53,-49,-51,-65,-77,-89,2
-51,-51,-51,-51,-65,-78,-88,2
-51,-52,-51,-50,-69,-77,-88,2
-52,-53,-49,-50,-69,-79,-87,2
-51,-53,-50,-51,-66,-77,-88,2
-51,-52,-52,-50,-69,-78,-86,2
-51,-53,-52,-54,-65,-77,-87,2
-52,-53,-53,-56,-64,-78,-88,2
-50,-53,-52,-50,-64,-78,-88,2
-51,-52,-51,-55,-66,-78,-89,2
-52,-53,-51,-55,-65,-78,-88,2
-51,-52,-52,-56,-68,-79,-87,2
-51,-53,-52,-55,-67,-78,-88,2
-51,-53,-56,-56,-64,-77,-88,2
-51,-52,-53,-55,-64,-78,-91,2
-50,-54,-54,-54,-66,-77,-86,2
-49,-53,-50,-55,-64,-79,-86,2
-51,-52,-50,-56,-67,-79,-91,2
-50,-53,-50,-55,-68,-78,-87,2
-50,-53,-53,-55,-67,-78,-89,2
-50,-52,-52,-55,-67,-79,-91,2
-51,-53,-55,-50,-67,-76,-88,2
-50,-52,-52,-50,-67,-78,-89,2
-48,-54,-54,-49,-67,-77,-89,2
-49,-54,-53,-50,-70,-78,-86,2
-50,-54,-53,-46,-66,-78,-87,2
-50,-54,-52,-49,-67,-79,-86,2
-49,-53,-50,-48,-67,-78,-88,2
-52,-54,-53,-50,-68,-78,-85,2
-50,-53,-52,-55,-67,-77,-88,2
-49,-54,-53,-55,-67,-77,-86,2
-50,-53,-52,-55,-68,-78,-86,2
-49,-52,-53,-54,-65,-77,-88,2
-50,-52,-51,-54,-67,-77,-88,2
-50,-53,-53,-54,-67,-78,-86,2
-49,-52,-52,-53,-65,-77,-85,2
-52,-50,-53,-54,-68,-76,-85,2
-51,-54,-53,-55,-66,-77,-85,2
-51,-52,-56,-52,-66,-80,-89,2
-48,-57,-49,-53,-62,-79,-87,2
-47,-60,-59,-55,-70,-79,-85,2
-57,-58,-56,-55,-71,-84,-87,2
-55,-58,-55,-54,-70,-81,-87,2
-55,-56,-58,-53,-70,-81,-88,2
-55,-66,-57,-52,-70,-84,-84,2
-52,-57,-58,-57,-68,-86,-83,2
-50,-60,-73,-58,-68,-88,-92,2
-49,-59,-57,-50,-72,-80,-91,2
-49,-59,-56,-50,-63,-80,-91,2
-49,-62,-56,-50,-63,-83,-89,2
